dataset,dataset_label,embedding_source,embedding_dim,metric_name,metric_scope,value,ci_low,ci_high,ci_level,ci_method,higher_is_better,n_structures,n_oxide,n_nitride,vector_space,raw_space_primary,projected_space,preprocessing,parameters
fixed_test_set,Fixed test set,pre_head,256,silhouette_score,overall_family_labels,0.1904993335658557,0.18179475645413662,0.19923095904820048,0.95,stratified_bootstrap_over_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,pre_head,256,silhouette_score,oxide,0.18519537470734157,0.17551443827047805,0.19463096144143952,0.95,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,pre_head,256,silhouette_score,nitride,0.22302443664864477,0.2068769319137261,0.23904539213680495,0.95,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,pre_head,256,davies_bouldin_index,overall_family_labels,1.6936503655060886,1.6094616631751253,1.7810870064265116,0.95,stratified_bootstrap_recomputed_index,False,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,pre_head,256,knn_family_purity,overall_family_labels,0.9577056778679026,0.9518684820393974,0.9635776361529548,0.95,stratified_bootstrap_over_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,pre_head,256,knn_family_purity,oxide,0.983737646001797,0.9795597484276731,0.9877369721473497,0.95,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,pre_head,256,knn_family_purity,nitride,0.7980716253443526,0.7633539944903581,0.8270247933884297,0.95,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,pre_head,256,logistic_regression_family_auc,overall_family_labels,0.9976108796863514,0.9956156300817536,0.9989697962843332,0.95,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,1726,1484,242,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}"
fixed_test_set,Fixed test set,last_alignn_pool,256,silhouette_score,overall_family_labels,0.23924905439423452,0.23316488129108706,0.24563530325262747,0.95,stratified_bootstrap_over_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,last_alignn_pool,256,silhouette_score,oxide,0.25456374327432907,0.2476217597241355,0.26169333510196163,0.95,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,last_alignn_pool,256,silhouette_score,nitride,0.1453358382865471,0.1316160216690978,0.15817060877426564,0.95,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,last_alignn_pool,256,davies_bouldin_index,overall_family_labels,1.8289881053584107,1.733953690415271,1.9071249603130276,0.95,stratified_bootstrap_recomputed_index,False,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,last_alignn_pool,256,knn_family_purity,overall_family_labels,0.9655465430668212,0.9602925840092701,0.9707609115488606,0.95,stratified_bootstrap_over_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,last_alignn_pool,256,knn_family_purity,oxide,0.987151841868823,0.9832423629829289,0.9905671608265948,0.95,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,last_alignn_pool,256,knn_family_purity,nitride,0.8330578512396695,0.7977823691460055,0.8644628099173554,0.95,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,last_alignn_pool,256,logistic_regression_family_auc,overall_family_labels,0.9993623443451917,0.9983647891559555,0.999944379162861,0.95,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,1726,1484,242,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}"
fixed_test_set,Fixed test set,last_gcn_pool,256,silhouette_score,overall_family_labels,0.1904993335658557,0.18207384573046767,0.1993434335391357,0.95,stratified_bootstrap_over_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,last_gcn_pool,256,silhouette_score,oxide,0.18519537470734157,0.17544974455787304,0.19493767248066718,0.95,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,last_gcn_pool,256,silhouette_score,nitride,0.22302443664864477,0.2066116399769188,0.237677756625303,0.95,bootstrap_over_family_per_structure_silhouette_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,last_gcn_pool,256,davies_bouldin_index,overall_family_labels,1.6936503655060886,1.6081246901124844,1.7798550506413358,0.95,stratified_bootstrap_recomputed_index,False,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
fixed_test_set,Fixed test set,last_gcn_pool,256,knn_family_purity,overall_family_labels,0.9577056778679026,0.951563344920819,0.9631923522595597,0.95,stratified_bootstrap_over_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,last_gcn_pool,256,knn_family_purity,oxide,0.983737646001797,0.9792890835579515,0.9879177897574124,0.95,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,last_gcn_pool,256,knn_family_purity,nitride,0.7980716253443526,0.763629476584022,0.8297520661157025,0.95,bootstrap_over_family_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
fixed_test_set,Fixed test set,last_gcn_pool,256,logistic_regression_family_auc,overall_family_labels,0.9973324274353434,0.9955891771179077,0.998755388051057,0.95,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,1726,1484,242,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}"
balanced_pool_set,Balanced train+val pool,pre_head,256,silhouette_score,overall_family_labels,0.2147995146211619,0.21017648783518184,0.2194974331611046,0.95,stratified_bootstrap_over_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,pre_head,256,silhouette_score,oxide,0.19410601742899738,0.18596862768937034,0.20206050721537092,0.95,bootstrap_over_family_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,pre_head,256,silhouette_score,nitride,0.2354930118133265,0.23060005123909325,0.24017566826797382,0.95,bootstrap_over_family_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,pre_head,256,davies_bouldin_index,overall_family_labels,1.6445431066035552,1.5976045579307123,1.6884861932198747,0.95,stratified_bootstrap_recomputed_index,False,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,pre_head,256,knn_family_purity,overall_family_labels,0.9700553926360379,0.9663396057347671,0.9731687846203976,0.95,stratified_bootstrap_over_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
balanced_pool_set,Balanced train+val pool,pre_head,256,knn_family_purity,oxide,0.9683610296513523,0.9627240143369177,0.9738685239491691,0.95,bootstrap_over_family_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
balanced_pool_set,Balanced train+val pool,pre_head,256,knn_family_purity,nitride,0.9717497556207234,0.9670568589116976,0.9761159986966438,0.95,bootstrap_over_family_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
balanced_pool_set,Balanced train+val pool,pre_head,256,logistic_regression_family_auc,overall_family_labels,0.9989142680231509,0.9982126868916197,0.9994383994614578,0.95,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}"
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,silhouette_score,overall_family_labels,0.20767994650541158,0.2040304519946169,0.21140657861943665,0.95,stratified_bootstrap_over_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,silhouette_score,oxide,0.2599938478694022,0.2538509185725809,0.26584921018542373,0.95,bootstrap_over_family_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,silhouette_score,nitride,0.15536604514142094,0.1509373218891838,0.15953797025038838,0.95,bootstrap_over_family_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,davies_bouldin_index,overall_family_labels,1.7856007148087834,1.7431726951044915,1.8285506527016642,0.95,stratified_bootstrap_recomputed_index,False,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,knn_family_purity,overall_family_labels,0.9767025089605735,0.9737202671880092,0.9795381231671554,0.95,stratified_bootstrap_over_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,knn_family_purity,oxide,0.9752036493971977,0.9697295536005213,0.9801238188334963,0.95,bootstrap_over_family_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,knn_family_purity,nitride,0.9782013685239492,0.9746489084392309,0.9814605734767027,0.95,bootstrap_over_family_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,logistic_regression_family_auc,overall_family_labels,0.9993015004839809,0.9984916626772885,0.9998739702865377,0.95,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}"
balanced_pool_set,Balanced train+val pool,last_gcn_pool,256,silhouette_score,overall_family_labels,0.2147995146211619,0.21017233434509855,0.21971179552557882,0.95,stratified_bootstrap_over_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,last_gcn_pool,256,silhouette_score,oxide,0.19410601742899738,0.18572205646394788,0.2022633159194929,0.95,bootstrap_over_family_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,last_gcn_pool,256,silhouette_score,nitride,0.2354930118133265,0.23041963776142513,0.2398317390819717,0.95,bootstrap_over_family_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,last_gcn_pool,256,davies_bouldin_index,overall_family_labels,1.6445431066035552,1.6001641849610815,1.68876148789033,0.95,stratified_bootstrap_recomputed_index,False,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}"
balanced_pool_set,Balanced train+val pool,last_gcn_pool,256,knn_family_purity,overall_family_labels,0.9700553926360379,0.9663558976865428,0.9736889051808406,0.95,stratified_bootstrap_over_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
balanced_pool_set,Balanced train+val pool,last_gcn_pool,256,knn_family_purity,oxide,0.9683610296513523,0.9631125773867709,0.9738359400456175,0.95,bootstrap_over_family_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
balanced_pool_set,Balanced train+val pool,last_gcn_pool,256,knn_family_purity,nitride,0.9717497556207234,0.9673835125448029,0.9760850439882698,0.95,bootstrap_over_family_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}"
balanced_pool_set,Balanced train+val pool,last_gcn_pool,256,logistic_regression_family_auc,overall_family_labels,0.9989329010471759,0.9983584903046165,0.9993917392637949,0.95,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}"
